domain,attack_type,corruption_rate,baseline_recall,poisoned_recall,baseline_prauc,poisoned_prauc,kl_divergence,n_missed_per_1000,recall_degradation
credit,gain_guided,0.01,1.0,1.0,1.0,1.0,0.0051142125298514,0.0,0.0
credit,gain_guided,0.015,1.0,1.0,1.0,0.9996867167919798,0.0202036357467016,0.0,0.0
credit,gain_guided,0.02,1.0,1.0,1.0,1.0,0.030489524958361,0.0,0.0
credit,gain_guided,0.025,1.0,1.0,1.0,1.0,0.0411540574335988,0.0,0.0
credit,gain_guided,0.03,1.0,1.0,1.0,1.0,0.0890575079134889,0.0,0.0
credit,gain_guided,0.04,1.0,1.0,1.0,1.0,0.083401498658718,0.0,0.0
credit,gain_guided,0.05,1.0,0.9821428571428572,1.0,0.9947051289156552,0.17568763758132,5.0,0.0178571428571429
credit,gain_guided,0.075,1.0,0.9821428571428572,1.0,0.9977678571428572,0.242179363310533,5.0,0.0178571428571429
credit,gain_guided,0.1,1.0,1.0,1.0,0.9936038011695908,0.3683263067424009,0.0,0.0
credit,clean_label,0.001,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,clean_label,0.003,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,clean_label,0.005,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,clean_label,0.01,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,clean_label,0.015,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,clean_label,0.02,1.0,1.0,1.0,1.0,0.0050174418034689,0.0,0.0
credit,clean_label,0.025,1.0,0.9821428571428572,1.0,0.9984906462585034,0.0513369976947785,5.0,0.0178571428571429
credit,clean_label,0.03,1.0,1.0,1.0,1.0,0.0631676206588912,0.0,0.0
credit,clean_label,0.04,1.0,1.0,1.0,1.0,0.0890575081186942,0.0,0.0
credit,clean_label,0.05,1.0,1.0,1.0,0.9969604278684244,0.139680134884583,0.0,0.0
credit,clean_label,0.075,1.0,1.0,1.0,0.9996867167919798,0.3327607391474513,0.0,0.0
credit,clean_label,0.1,1.0,1.0,1.0,0.99743743516172,0.5953801644123228,0.0,0.0
credit,backdoor,0.001,1.0,0.9821428571428572,1.0,1.0000000000000002,0.0050451814366282,5.0,0.0178571428571429
credit,backdoor,0.003,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
credit,backdoor,0.005,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,backdoor,0.01,1.0,1.0,1.0,1.0000000000000002,0.0050174418034689,0.0,0.0
credit,backdoor,0.015,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
credit,backdoor,0.02,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,backdoor,0.025,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
credit,backdoor,0.03,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
credit,backdoor,0.04,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
credit,backdoor,0.05,1.0,1.0,1.0,1.0000000000000002,0.0,0.0,0.0
credit,backdoor,0.075,1.0,1.0,1.0,1.0,0.0,0.0,0.0
credit,backdoor,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aml,label_flip,0.001,0.6225490196078431,0.8088235294117647,0.0799728807192266,0.0694931611453164,1.011515996189055,0.195,-0.1862745098039215
aml,label_flip,0.003,0.6225490196078431,0.931372549019608,0.0799728807192266,0.0493349625769669,2.6076543135493444,0.07,-0.3088235294117647
aml,label_flip,0.005,0.6225490196078431,0.9607843137254902,0.0799728807192266,0.0478300872466169,3.204929955221039,0.04,-0.3382352941176471
aml,label_flip,0.01,0.6225490196078431,0.9607843137254902,0.0799728807192266,0.0307309886057999,3.904410056647136,0.04,-0.3382352941176471
aml,label_flip,0.015,0.6225490196078431,0.9754901960784312,0.0799728807192266,0.0367613316091646,4.268152579861148,0.025,-0.3529411764705882
aml,label_flip,0.02,0.6225490196078431,0.965686274509804,0.0799728807192266,0.0319196095130047,4.656358136842007,0.035,-0.3431372549019608
aml,label_flip,0.025,0.6225490196078431,0.9852941176470588,0.0799728807192266,0.02052235817076,4.762361633949054,0.015,-0.3627450980392157
aml,label_flip,0.03,0.6225490196078431,0.9803921568627452,0.0799728807192266,0.0283921657963296,4.909594497625938,0.02,-0.3578431372549019
aml,label_flip,0.04,0.6225490196078431,0.9803921568627452,0.0799728807192266,0.012716411059026,5.159481561402703,0.02,-0.3578431372549019
aml,label_flip,0.05,0.6225490196078431,0.9901960784313726,0.0799728807192266,0.0152869292055437,5.314547933624579,0.01,-0.3676470588235294
aml,label_flip,0.075,0.6225490196078431,0.9950980392156864,0.0799728807192266,0.0060512497210181,5.868107208478439,0.005,-0.3725490196078431
aml,label_flip,0.1,0.6225490196078431,0.9852941176470588,0.0799728807192266,0.0060499497437712,6.238259096748622,0.015,-0.3627450980392157
aml,targeted_flip,0.001,0.6225490196078431,0.7745098039215687,0.0799728807192266,0.0861844624053378,0.0818207875161613,0.23,-0.1519607843137255
aml,targeted_flip,0.003,0.6225490196078431,0.8970588235294118,0.0799728807192266,0.066842943582827,0.26651040772793,0.105,-0.2745098039215686
aml,targeted_flip,0.005,0.6225490196078431,0.9166666666666666,0.0799728807192266,0.0458829960428862,0.372889815276633,0.085,-0.2941176470588235
aml,targeted_flip,0.01,0.6225490196078431,0.9411764705882352,0.0799728807192266,0.0259020226783986,0.5249226791872061,0.06,-0.3186274509803921
aml,targeted_flip,0.015,0.6225490196078431,0.9558823529411764,0.0799728807192266,0.0191897301631105,0.578054457395915,0.045,-0.3333333333333333
aml,targeted_flip,0.02,0.6225490196078431,0.965686274509804,0.0799728807192266,0.0171685684295453,0.6123592374433162,0.035,-0.3431372549019608
aml,targeted_flip,0.025,0.6225490196078431,0.9509803921568628,0.0799728807192266,0.008604941072583,0.6175913811981268,0.05,-0.3284313725490195
aml,targeted_flip,0.03,0.6225490196078431,0.9607843137254902,0.0799728807192266,0.0060784691445294,0.6487288640971675,0.04,-0.3382352941176471
aml,targeted_flip,0.04,0.6225490196078431,0.9754901960784312,0.0799728807192266,0.0052826888713294,0.6829213554485024,0.025,-0.3529411764705882
aml,targeted_flip,0.05,0.6225490196078431,0.965686274509804,0.0799728807192266,0.0042614768546779,0.690300464614409,0.035,-0.3431372549019608
aml,targeted_flip,0.075,0.6225490196078431,0.965686274509804,0.0799728807192266,0.0034404022276426,0.7156192216220936,0.035,-0.3431372549019608
aml,targeted_flip,0.1,0.6225490196078431,0.9754901960784312,0.0799728807192266,0.0039663572920353,0.7243727605097955,0.025,-0.3529411764705882
aml,feature_perturb,0.001,0.6225490196078431,0.8235294117647058,0.0799728807192266,0.0894505059057535,1.045305387779225,0.18,-0.2009803921568627
aml,feature_perturb,0.003,0.6225490196078431,0.9362745098039216,0.0799728807192266,0.0638894426881141,2.6112807120810797,0.065,-0.3137254901960784
aml,feature_perturb,0.005,0.6225490196078431,0.9362745098039216,0.0799728807192266,0.0448867980610728,3.336385292109801,0.065,-0.3137254901960784
aml,feature_perturb,0.01,0.6225490196078431,0.9558823529411764,0.0799728807192266,0.0306690614885626,4.121884039929975,0.045,-0.3333333333333333
aml,feature_perturb,0.015,0.6225490196078431,0.9754901960784312,0.0799728807192266,0.0274140188296611,4.868180241101711,0.025,-0.3529411764705882
aml,feature_perturb,0.02,0.6225490196078431,0.9950980392156864,0.0799728807192266,0.0310487816970722,5.0948826661103945,0.005,-0.3725490196078431
aml,feature_perturb,0.025,0.6225490196078431,0.9901960784313726,0.0799728807192266,0.0174654391302919,5.769189387373746,0.01,-0.3676470588235294
aml,feature_perturb,0.03,0.6225490196078431,0.9950980392156864,0.0799728807192266,0.0341904017027855,6.112587051929824,0.005,-0.3725490196078431
aml,feature_perturb,0.04,0.6225490196078431,0.9950980392156864,0.0799728807192266,0.0303124984569018,6.517837025620136,0.005,-0.3725490196078431
